Country,Perc_2000,Perc_2005,Perc_2010,Perc_2015,Perc_2017,Perc_2018,Perc_2019,Perc_2020,Perc_2021,latitude,longitude
Jordan,0,5.5,6.4,12,15.4,15.4,15.4,15.4,11.5,31.1667042,36.9416275
Kazakhstan,10.4,10.4,17.8,26.2,27.1,27.1,27.1,27.1,27.1,47.2286072,65.2093201
Kenya,3.6,7.1,9.8,19.7,19.4,21.8,21.8,21.8,21.6,1.441968,38.4313965
Kiribati,4.9,4.8,4.3,8.7,6.5,6.5,6.5,6.5,6.7,1.849968,-157.3548584
Kuwait,0,0,7.7,1.5,3.1,3.1,4.6,6.4,1.5,29.2733955,47.4979477
Kyrgyzstan,1.4,10,25.6,23.3,19.2,19.2,19.2,19.2,17.1,41.508934,74.7240906
Lao People's Democratic Republic,21.2,22.9,25.2,25,27.5,27.5,27.5,27.5,27.5,18.4944019,103.7693329
Latvia,17,21,22,18,16,16,31,30,29,56.8540115,24.9270668
Lebanon,2.3,2.3,3.1,3.1,3.1,3.1,4.7,4.7,4.7,33.9222107,35.8953552
Lesotho,3.8,11.7,24.2,26.7,25,22.1,23.3,23.3,23.3,-29.6039276,28.3350201
Liberia,7.8,5.3,12.5,11,12.3,9.9,12.3,12.3,11,5.7499719,-9.3658524
Libya,,,7.7,16,16,16,16,16,16,26.8234463,18.1236725
Liechtenstein,4,12,24,20,12,12,12,12,12,47.1412048,9.5528641
Lithuania,17.5,22,19.1,23.4,21.3,21.3,21.3,24.1,27.7,55.3367653,23.9049377
Luxembourg,16.7,23.3,20,28.3,28.3,28.3,25,30,31.7,49.7768249,6.092391
Madagascar,8,6.9,,20.5,19.2,19.2,19.2,15.9,17.9,-18.9249611,46.4416428
Malawi,8.3,14,20.8,16.7,16.7,16.7,16.7,22.9,22.9,-13.2687206,33.9301948
Malaysia,7.3,9.1,9.9,10.4,10.4,10.4,14.4,14.4,14.9,3.602458,114.7044907
Maldives,6,12,6.5,5.9,5.9,5.9,4.7,4.6,4.6,-0.610748,73.0910187
Mali,12.2,10.2,10.2,9.5,8.8,8.8,8.8,9.5,27.3,16.3700352,-2.290024
Malta,9.2,9.2,8.7,12.9,12.5,11.9,11.9,13.4,13.4,35.8881187,14.4402189
Marshall Islands,3,3,3,3,9.1,9.1,9.1,6.1,6.1,7.0693779,171.2942047
Mauritania,3.8,3.7,22.1,25.2,25.2,25.2,20.3,20.3,20.3,20.2540379,-9.2399263
Mauritius,7.6,5.7,17.1,11.6,11.6,11.6,11.6,20,20,-20.2834129,57.5718155
Mexico,18.2,22.6,27.6,38,42.6,42.6,48.2,48.2,48.2,23.9335918,-102.509697
Monaco,22.2,20.8,26.1,20.8,20.8,20.8,33.3,33.3,33.3,43.7323875,7.4179449
Mongolia,7.9,6.8,3.9,14.9,17.1,17.1,17.1,17.3,17.3,46.8349266,103.0675507
Montenegro,,,11.1,17.3,23.5,23.5,23.5,29.6,24.7,42.7868767,19.2516975
Morocco,0.6,10.8,10.5,17,20.5,20.5,20.5,20.5,20.5,31.172821,-7.3362479
Mozambique,30,34.8,39.2,39.6,39.6,39.6,39.6,41.2,42.4,-19.3022327,34.9144974
Myanmar,,,,6.2,10.2,10.2,11.3,11.1,15.3,21.1775761,96.516983
Namibia,22.2,25,26.9,41.3,41.3,46.2,46.2,42.7,44.2,-23.2335491,17.3231106
Nauru,0,0,0,5.3,10.5,10.5,10.5,10.5,10.5,-0.528556,166.934082
Nepal,5.9,,33.2,29.5,29.6,32.7,32.7,32.7,32.7,28.2609215,83.9366074
